"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","PPCC_test","wilcoxon_pvalue"
"86","Hardness as CaCO3 water  (ug/L)","A",0.3,642,640,2,1900,1300000,10000,10000,35715.4025550887,2915.11462770118,30001.8828739885,41428.9222361889,13900,25200,40000,57000,73862.355052308,NA,NA,NA,NA,NA,NA,0.986367911374886,2.01598208156957e-54,252.364145962967,3,"reject Ho",0.0461043012946119
"87","Heavy Fuel Oil sediment  (ug/Kg)","A",0,12,12,0,820000,5040000,NA,NA,2669166.66666667,414342.228505896,1857070.82152105,3481262.51181229,1100000,2800000,3470000,4500000,1435323.58298705,NA,NA,NA,NA,NA,NA,0.948995566541506,0.0156097627256458,8.31971748944226,2,"do not reject Ho",0.0358875703317511
"88","Heavy Fuel Oil water  (ug/L)","A",21.5,298,234,64,21,9000,20,500,762.142750164075,67.0563178556938,630.714782231045,893.570718097105,150,360,840,2000,1157.57152253346,NA,NA,NA,NA,NA,NA,0.998359616729183,2.03391949515577e-38,178.319655644067,3,"do not reject Ho",0.0227034289665185
"89","HPAH sediment  (ug/Kg)","A",3.3,90,87,3,3.46,2683000,1,220,228297.757777778,51029.6939583076,128281.395477394,328314.120078162,1438,7840,266800,727000,484110.183628756,NA,NA,NA,NA,NA,NA,0.976055873453118,5.6366654795359e-05,22.3047760866199,3,"reject Ho",0.0690856952006116
"90","HPAH water  (ug/L)","A",32.7,633,426,207,0.012,154.3,0.0094,2.2,2.3668644387509,0.488982125371726,1.40847708393847,3.32525179356333,0.0340000000000202,0.110000000000042,0.712000000000018,2.50500000000002,12.3025415050965,NA,NA,NA,NA,NA,NA,0.980135067349298,2.66117846739992e-29,136.068512877185,3,"reject Ho",0.134849522300003
"91","Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)","A",13.9,79,68,11,19.4,160000,1,500,14900.2886171098,3291.53435939634,8448.9998188169,21351.5774154028,130,540,18000,52000,29255.797317589,NA,NA,NA,NA,NA,NA,0.97447030244435,5.4931002079428e-05,22.3585944542266,3,"reject Ho",0.0232674363575403
"92","Indeno(1,2,3-cd)pyrene water  (ug/L)","B",71.3,634,182,452,0.004,10,0.003,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163673844649284,0.000801113155433009,0.00497225010896239,0.0321753072898711,0.21,0.797800523584603,0.993981623491672,NA,NA,NA,"do not reject Ho",0.166086085187717
"93","Lead sediment  (ug/Kg)","A",2.5,80,78,2,360,1790000,10,10,188329.45,28179.4728673691,133098.698076633,243560.201923367,20500,114000,248000,486000,252044.867606193,NA,NA,NA,NA,NA,NA,0.946522097841344,5.32821167187336e-08,36.6989215769688,3,"reject Ho",0.778298721492443
"94","Lead water  (ug/L)","A",0.9,638,632,6,0.1,294,0.05,0.1,15.2465909090909,1.0551444195356,13.1785458483127,17.3146359698692,1.40000000000003,6.12,16.9,40.1,26.6515361282836,NA,NA,NA,NA,NA,NA,0.992812250236398,1.51297520628482e-53,248.316993310042,3,"do not reject Ho",0.213234065169147
"95","Lead water dissolved (ug/L)","A",19.4,628,506,122,0.016,21.8,0.02,1.8,0.776906133571976,0.0860078951737237,0.608333756645382,0.945478510498571,0.0859999999999985,0.200000000000003,0.43,1.61,2.15535167530279,NA,NA,NA,NA,NA,NA,0.987422113528077,4.52315743266857e-31,144.275719676549,3,"do not reject Ho",2.23521592827887e-06
"96","LPAH sediment  (ug/Kg)","A",5.8,86,81,5,1.94,307500,0.1,500,28429.9221323422,6464.55083986016,15759.6353099882,41100.2089546963,200,1200,35850,97250,59949.7782335995,NA,NA,NA,NA,NA,NA,0.980417625466047,2.01063285227843e-05,24.4513357203845,3,"reject Ho",0.0915075206253708
"97","LPAH water  (ug/L)","A",38.6,634,389,245,0.006,24.3,0.0094,1.1,0.379994122078974,0.0705502036772637,0.241718263769572,0.518269980388376,0.0268000000000015,0.0530000000000044,0.120000000000005,0.32,1.77640873828766,NA,NA,NA,NA,NA,NA,0.955195081565754,3.57768529851784e-23,107.614790047173,3,"reject Ho",0.324275523212728
"98","Lube Oil water  (ug/L)","B",58.4,89,37,52,194,1550,190,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.936960199155,126.610945725352,207.306841204163,460,846.6,334.43624223614,0.956544651417281,NA,NA,NA,"reject Ho",0.139114710559249
"99","Magnesium water  (ug/L)","A",0,353,353,0,90,96500,NA,NA,2121.20963172805,284.184134468712,1564.21896319168,2678.20030026441,610,1500,2440,4040,5339.33513334357,NA,NA,NA,NA,NA,NA,0.984187865863221,5.03734610107265e-48,222.777920745301,3,"reject Ho",0.727450769785472
"100","Magnesium water dissolved (ug/L)","A",0,2,2,0,210,310,NA,NA,260,50,162.001800772997,357.998199227003,210,NA,NA,NA,70.7106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Malathion sediment  (ug/Kg)","C",98.1,53,1,52,16,16,0.1,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453254704753736
"102","Malathion water  (ug/L)","C",98.9,643,7,636,0.027,0.2,0.008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117057462348031
"103","Mecoprop sediment  (ug/Kg)","C",91.7,12,1,11,6500,6500,10,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0832645166635505
"104","Mecoprop water  (ug/L)","C",89.6,616,64,552,0.02,28,0.02,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15479179261319e-05
"105","Mercury sediment  (ug/Kg)","A",17.6,68,56,12,10,442,5,61,108.584967320261,10.6268258159271,87.7567714510638,129.413163189459,35.7,80,170,210,87.6310506082161,NA,NA,NA,NA,NA,NA,0.970338881336218,0.00429866057566786,13.1621951339092,3,"reject Ho",0.821520892052556
"106","Mercury water  (ug/L)","B",77.4,455,103,352,0.002,0.4,0.02,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0215606829150689,0.00548880915284481,0.0111585925058495,0.0233345574394579,0.0454461787189108,0.0371860845969235,0.9900367435515,NA,NA,NA,"do not reject Ho",7.59459956591709e-05
"107","Mercury water dissolved (ug/L)","C",91.2,444,39,405,0.001,0.4,0.001,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000249567402432825
"108","Motor Oil sediment  (ug/Kg)","A",0,22,22,0,820000,1.7e+07,NA,NA,7637272.72727273,862692.147319559,5946427.18878087,9328118.26576459,4600000,8100000,1e+07,1.2e+07,4046384.84366358,NA,NA,NA,NA,NA,NA,0.945635840934898,NA,NA,NA,"reject Ho",0.659350299238941
"109","Motor Oil water  (ug/L)","A",18.1,105,86,19,200,5800,200,500,1195.14285714286,97.4819179609777,1004.08180879545,1386.20390549026,490,930,1600,2500,998.892413917451,NA,NA,NA,NA,NA,NA,0.988987678539393,0.000221370674636789,16.8313440013555,2,"do not reject Ho",0.14628443728251
"110","Naphthalene sediment  (ug/Kg)","A",40.5,79,47,32,1.02,6900,0.1,530,436.514519790845,108.704710881951,223.457201512383,649.571838069308,1.56000000000131,23.5,520,1200,966.188604396859,NA,NA,NA,NA,NA,NA,0.962429866679429,1.70274999544695e-07,34.3115325464097,3,"reject Ho",0.176519930244763
"111","Naphthalene water  (ug/L)","B",62.9,628,233,395,0.004,2.2,0.005,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0526233907763251,0.0074058107296125,0.0165828108288889,0.041,0.1023,0.169435636715597,0.982910486846488,NA,NA,NA,"reject Ho",0.111886954173688
"112","Nitrite-Nitrate water dissolved (ug/L)","A",3.9,584,561,23,12,58000,10,770,548.206097474591,101.027461681006,350.195911130318,746.216283818864,129,245,543,1090,2441.43892817433,NA,NA,NA,NA,NA,NA,0.994849018613366,5.83658135345348e-14,64.6923815301155,3,"do not reject Ho",1.91599107978243e-12
"113","o-Cresol sediment  (ug/Kg)","C",81.4,43,8,35,5.66,67,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402140344801441
"114","Oil and grease water  (ug/L)","C",94.3,35,2,33,500,670,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400814169382935
"115","Ortho-phosphate water dissolved (ug/L)","A",7.8,590,544,46,4,270,3,22.3,32.2329370903237,1.39064436920162,29.5073242113851,34.9585499692622,11,21.6,38.6,70,33.7786343616697,NA,NA,NA,NA,NA,NA,0.9978105250265,1.03191804739459e-14,68.2092438540819,3,"do not reject Ho",0.0022965372258823
"116","p-Cresol sediment  (ug/Kg)","A",23.3,43,33,10,2.46,24100,1,440,1467.71608209303,686.7606160402,121.690008653694,2813.74215553236,13.3000000000029,180,605,2380,4503.39052059538,NA,NA,NA,NA,NA,NA,0.967144893066125,0.00790292508064627,11.8533110885897,3,"do not reject Ho",0.135640593486354
"117","p-Cresol water  (ug/L)","C",92.3,26,2,24,0.354,0.362,0.047,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484908135450228
"118","PCB-aroclor 1016 sediment  (ug/Kg)","C",100,33,0,33,NA,NA,0.05,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"119","PCB-aroclor 1016 water  (ug/L)","C",100,27,0,27,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"120","PCB-aroclor 1221 sediment  (ug/Kg)","C",100,33,0,33,NA,NA,0.05,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"121","PCB-aroclor 1221 water  (ug/L)","C",100,27,0,27,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"122","PCB-aroclor 1232 sediment  (ug/Kg)","C",100,33,0,33,NA,NA,0.05,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"123","PCB-aroclor 1232 water  (ug/L)","C",100,27,0,27,NA,NA,0.01,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"124","PCB-aroclor 1242 sediment  (ug/Kg)","C",100,33,0,33,NA,NA,0.05,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"125","PCB-aroclor 1242 water  (ug/L)","C",100,27,0,27,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"126","PCB-aroclor 1248 sediment  (ug/Kg)","C",93.9,33,2,31,38,45,0.05,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453319222970572
"127","PCB-aroclor 1248 water  (ug/L)","C",96.3,27,1,26,0.014,0.014,0.01,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552452904881778
"128","PCB-aroclor 1254 sediment  (ug/Kg)","B",54.5,33,15,18,5.9,650,0.05,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971480633880137,NA,NA,NA,"do not reject Ho",0.0165132706517722
"129","PCB-aroclor 1254 water  (ug/L)","A",48.1,27,14,13,0.01,0.058,0.005,0.05,0.0170130594460006,0.00219625046768635,0.0127084876283061,0.0213176312636951,NA,0.011,0.022,0.032,0.011412052188539,NA,NA,NA,NA,NA,NA,0.991219474391296,1.36247105486653e-07,31.6175912956564,2,"do not reject Ho",0.799073032651304
"130","PCB-aroclor 1260 sediment  (ug/Kg)","B",72.7,33,9,24,7.2,120,0.05,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871749588055338,NA,NA,NA,"reject Ho",0.298653446316753
"131","PCB-aroclor 1260 water  (ug/L)","B",74.1,27,7,20,0.01,0.038,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983277465235955,NA,NA,NA,"do not reject Ho",0.439206439413868
"132","Pentachlorophenol sediment  (ug/Kg)","B",75.3,77,19,58,7.8,17800,1,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.195287463163,4.22195076975857,11.1807269537518,35.0347746053483,203,2026.74830673928,0.958204144856499,NA,NA,NA,"do not reject Ho",0.508931092868691
"133","Pentachlorophenol water  (ug/L)","B",74.6,591,150,441,0.02,5.1,0.02,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153399262748389,0.022541347542114,0.060677580384706,0.150226337672753,0.3764,0.315366060721365,0.991825638902097,NA,NA,NA,"do not reject Ho",0.806997547491717
"134","pH water  (pH)","A",0,224,224,0,5.6,8.26,NA,NA,6.90379464285714,0.0285842941222462,6.84777045585404,6.95981882986024,6.6,7,7.21,7.4,0.427810540992885,NA,NA,NA,NA,NA,NA,0.983583070424834,0.000168442726637297,17.3778295344279,2,"reject Ho",0.855690877213625
"135","Phenanthrene sediment  (ug/Kg)","A",6.4,78,73,5,2.16,250000,0.1,500,24296.8876730769,5575.07742744919,13369.9367042543,35223.8386418995,200,950,30000,79000,49237.7506504935,NA,NA,NA,NA,NA,NA,0.977129089147317,1.9205493488772e-05,24.5466172527605,3,"reject Ho",0.0912578062699233
"136","Phenanthrene water  (ug/L)","A",48.2,633,328,305,0.006,16,0.003,1.1,0.238108279286326,0.0510997779659017,0.137954554855165,0.338262003717487,0.0150000000000006,0.0259999999999998,0.0766999999999989,0.210000000000001,1.28564441665186,NA,NA,NA,NA,NA,NA,0.961129729708547,1.32586766835973e-25,118.908504540579,3,"reject Ho",0.556949302817802
"137","Phenol sediment  (ug/Kg)","B",57.1,49,21,28,4.52,1200,1,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981107568737259,NA,NA,NA,"do not reject Ho",0.293481411141113
"138","Phenol water  (ug/L)","B",69.2,26,8,18,0.098,2.16,0.047,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963493021233132,NA,NA,NA,"do not reject Ho",0.130570018115736
"139","Precipitation water  (in)","A",0,589,589,0,0.06,4.38,NA,NA,0.648811544991511,0.0216753894038376,0.606328562409108,0.691294527573913,0.32,0.49,0.81,1.21,0.526047009231027,NA,NA,NA,NA,NA,NA,0.997652117317724,0.0341051669243544,10.40680932835,4,"do not reject Ho",3.71716299498412e-06
"140","Prometon sediment  (ug/Kg)","C",100,15,0,15,NA,NA,0.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"141","Prometon water  (ug/L)","C",96.4,607,22,585,0.024,3.21,0.005,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241687812719797
"142","Pyrene sediment  (ug/Kg)","A",5.1,79,75,4,1.37,490000,1,500,41626.3538517179,9549.35701978236,22909.9580174297,60342.7496860061,370,1800,56000,110000,84876.541752183,NA,NA,NA,NA,NA,NA,0.972074519467172,7.26723221233794e-06,26.5636690298459,3,"reject Ho",0.0296243454301535
"143","Pyrene water  (ug/L)","A",36.7,633,401,232,0.007,26,0.0094,1.1,0.426181200730896,0.0860769550168636,0.257473468998969,0.594888932462823,0.0210000000000008,0.0479999999999947,0.18,0.43,2.16565239664386,NA,NA,NA,NA,NA,NA,0.970937104983559,4.04795993214015e-34,158.405443787119,3,"reject Ho",0.0315284454949584
"144","Sampled-Event Flow Volume water  (m3)","A",0,600,600,0,2,201358.4825,NA,NA,4133.72513881406,684.109164390998,2792.89581511391,5474.5544625142,65.7000000000116,367.90281,1445.57271099999,5356.40588799998,16757.1838111972,NA,NA,NA,NA,NA,NA,0.996569532268884,3.63147290238786e-07,32.7528052616475,3,"do not reject Ho",0.00941747147663193
"145","Sand sediment  (%)","A",0,73,73,0,5.3,150.8,NA,NA,74.6112328767123,3.16513793876838,68.407676510625,80.8147892427997,63.9,77.3,85.1,93.8,27.0429504032837,NA,NA,NA,NA,NA,NA,0.82179496896729,0.243264412369774,4.17413343016375,3,"reject Ho",0.405798086754035
"146","Solids sediment  (%)","A",0,82,82,0,0.2,97.8,NA,NA,49.0341463414634,2.0591064470224,44.9983718649653,53.0699208179615,39.4,47.3,62.3,71,18.6460019182096,NA,NA,NA,NA,NA,NA,0.745305487604073,0.934089821896625,0.429468973281471,3,"reject Ho",0.309796294601345
"147","Storm Event Flow Volume water  (m3)","A",0,622,622,0,2.2,336888.3492,NA,NA,5687.33110751096,961.492671774378,3802.84009943399,7571.82211558793,85.1203008000157,449.948288599961,2038.96449300001,7604.759808,23979.5578399346,NA,NA,NA,NA,NA,NA,0.996995399901629,4.05261983582594e-06,27.773257546314,3,"do not reject Ho",0.00295278480167724
"148","Surfactants water  (ug/L)","A",36.6,607,385,222,17,920,16,96,74.1302604090541,3.7481442545248,66.7840326613248,81.4764881567834,19,47,88,150,92.344416772783,NA,NA,NA,NA,NA,NA,0.998717984935151,5.38461909412594e-19,88.1812589184537,3,"do not reject Ho",0.000183591336818604
"149","Toluene water  (ug/L)","C",97.5,120,3,117,1.1,2.07,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314606924427564
"150","Total Benzofluoranthenes sediment  (ug/Kg)","A",11.5,78,69,9,1.07,470000,0.1,220,44006.5200904977,9907.01512306316,24589.1272550002,63423.9129259951,237,1400,57000,160000,87496.3884659873,NA,NA,NA,NA,NA,NA,0.960728891206481,5.46183571616954e-05,22.3705003047782,3,"reject Ho",0.0604805045262298
"151","Total Benzofluoranthenes water  (ug/L)","B",61.7,634,243,391,0.005,26,0.003,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432880854911018,0.00288546922224687,0.0159536259551607,0.11575,0.474000000000001,2.11447437125552,0.996719859514888,NA,NA,NA,"do not reject Ho",0.833877218092733
"152","Total Kjeldahl Nitrogen water  (ug/L)","A",10.4,585,524,61,100,25000,30,600,1198.14156143094,68.0426617764765,1064.78039493681,1331.50272792508,500,863,1370,2080,1645.73243136676,NA,NA,NA,NA,NA,NA,0.985066076054189,1.13016412550682e-06,30.4123503786039,3,"reject Ho",3.75139756932381e-12
"153","Total Organic Carbon sediment  (%)","A",0,80,80,0,0.00164,68,NA,NA,12.7093055,1.15587529078145,10.4438315594486,14.9747794405514,5.61999999999999,11,17.5,20.7,10.3384628947987,NA,NA,NA,NA,NA,NA,0.82808075130219,0.0209258734720241,9.73839947828973,3,"reject Ho",0.982946332876008
"154","Total PAH sediment  (ug/Kg)","A",1.2,86,85,1,4.1,2990960,220,220,265874.419169435,59642.5629081866,148977.143923725,382771.694415145,1558,6728,312120,878250,553102.374504125,NA,NA,NA,NA,NA,NA,0.979264148918591,2.98946268162403e-06,28.4027627455463,3,"reject Ho",0.112912717202649
"155","Total PAH water  (ug/L)","A",27,634,463,171,0.021,172.52,0.0094,2.2,2.73719270107685,0.553664551605484,1.65203012041359,3.82235528174012,0.0629999999999882,0.162000000000035,0.819999999999993,2.90600000000001,13.9409171949572,NA,NA,NA,NA,NA,NA,0.975154330071923,5.81318108422368e-30,139.132919612499,3,"reject Ho",0.114262970058803
"156","Total PCB sediment  (ug/Kg)","A",48.5,33,17,16,8.48,770,0.05,51,80.6614636483411,27.0160703451513,27.7109387680439,133.611988528638,NA,9.59999999999991,62,230,155.195508561,NA,NA,NA,NA,NA,NA,0.982140168939906,0.242759971511109,4.17912722701945,3,"do not reject Ho",0.0267689607308543
"157","Total PCB water  (ug/L)","A",44.4,27,15,12,0.01,0.096,0.01,0.025,0.0217030092592593,0.00417259451927016,0.0135248742794005,0.029881144239118,NA,0.011,0.024,0.043,0.0216814371202781,NA,NA,NA,NA,NA,NA,0.990274675899827,7.29882205341426e-07,28.2607653568642,2,"do not reject Ho",0.86888851983686
"158","Total Phosphorus sediment  (ug/Kg)","A",0,3,3,0,35000,1850000,NA,NA,845333.333333333,532879.077381643,-199090.466449619,1889757.13311629,35000,651000,NA,NA,922973.636315433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Total Phosphorus water  (ug/L)","A",3.3,605,585,20,8,4600,5,137,155.581929847648,9.17889322163384,137.591629715307,173.572229979989,56,110,196,312,225.770921219638,NA,NA,NA,NA,NA,NA,0.994076086828764,2.35573244800058e-07,33.6437294662127,3,"do not reject Ho",2.92524710043049e-05
"160","Total Phthalate sediment  (ug/Kg)","A",11.9,67,59,8,21.5,94000,20,2200,7781.49806522941,1653.14057545676,4541.40207595234,11021.5940545065,628,3970,11800,20200,13531.5387916098,NA,NA,NA,NA,NA,NA,0.93889695015671,0.0034110684049401,13.6571061337832,3,"reject Ho",0.699580267057691
"161","Total Phthalate water  (ug/L)","A",23.5,634,485,149,0.032,41.4,0.407,5.8,2.36363787046867,0.154757600730227,2.0603185467036,2.66695719423375,0.516000000000005,1.16,2.44,5.8,3.89669681906538,NA,NA,NA,NA,NA,NA,0.998652995465304,1.65237344124575e-34,160.208623966803,3,"do not reject Ho",0.769565387309333
"162","Total Suspended Solids water  (ug/L)","A",0.6,625,621,4,1000,4700000,500,5000,63115.2551489365,7986.78951298755,47461.4353513787,78769.0749464943,14100,31000,67000,135000,199669.737824689,NA,NA,NA,NA,NA,NA,0.996386655673929,1.45372602844418e-12,58.1589850978407,3,"do not reject Ho",0.543889512329107
"163","Total TPHDx sediment  (ug/Kg)","A",0,38,38,0,120000,23700000,NA,NA,6714868.42105263,965853.648599822,4821830.05546037,8607906.78664489,2250000,4300000,10800000,14200000,5953921.75624742,NA,NA,NA,NA,NA,NA,0.953581986062858,0.0045172757585723,10.7996923502402,2,"reject Ho",0.296599036280207
"164","Total TPHDx water  (ug/L)","A",27.3,579,421,158,14,12100,70,570,969.844482497621,59.8313632972792,852.577165289022,1087.11179970622,120,433,1200,2540,1439.68732289076,NA,NA,NA,NA,NA,NA,0.990228208877341,4.32422031432079e-21,97.9329285081584,3,"do not reject Ho",0.000423832518017688
"165","Total Xylenes water  (ug/L)","C",99.2,120,1,119,1.73,1.73,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561520352881059
"166","TPHGx water  (ug/L)","C",97.1,35,1,34,50,50,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.579099741953919
"167","Triclopyr sediment  (ug/Kg)","C",91.7,12,1,11,310,310,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563702861650773
"168","Triclopyr water  (ug/L)","C",89,575,63,512,0.02,18.3,0.05,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00486565262423546
"169","Turbidity water  (NTU)","A",0,548,548,0,0.98,500,NA,NA,31.9679744525547,1.96076119696977,28.1249531242103,35.8109957808991,7.10000000000002,17.3,34.4,78.6,45.9002428142292,NA,NA,NA,NA,NA,NA,0.997659510726212,1.81827611485989e-14,67.0597907700585,3,"do not reject Ho",0.248708322287249
"170","Zinc sediment  (ug/Kg)","A",0,80,80,0,366,9250000,NA,NA,548766.325,119350.271944929,314844.090442879,782688.559557121,128000,373000,602000,960000,1067501.28480779,NA,NA,NA,NA,NA,NA,0.929764756739512,4.21025710739542e-07,32.4482177831768,3,"reject Ho",0.46981763164198
"171","Zinc water  (ug/L)","A",1,630,624,6,1.4,1290,0.5,1,103.501650793651,5.35106950237196,93.0137472902311,113.989554297071,29,70.5999999999999,129,213,134.310778555206,NA,NA,NA,NA,NA,NA,0.988072352976867,1.01927339735123e-61,286.088875665877,3,"do not reject Ho",6.64651663652414e-05
"172","Zinc water dissolved (ug/L)","A",2.6,608,592,16,0.219,1090,0.5,36.5,53.4099323064096,4.26014696027945,45.0601976954141,61.7596669174051,13.0999999999999,26.8999999999999,49,110,105.045238306609,NA,NA,NA,NA,NA,NA,0.981591399512592,3.65032665993952e-42,195.662467309646,3,"reject Ho",4.73003930836148e-08
