"","parameter","method","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"135","Bis(2-ethylhexyl) phthalate","COMP-CT-VPFVI",3.000000e+00,2.200000e+01,5.790000e-06,1.426950e-05,2.192190e-05,4.245250e-05,3.800520e-04
"136","Butyl benzyl phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"137","Cadmium","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.322000e-07,9.860000e-07,2.068900e-06,2.035000e-05,9.465300e-05
"138","Cadmium dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.440500e-07,2.976000e-07,6.792000e-07,9.708000e-07,1.528400e-05
"139","Chloride","COMP-CT-VPFVI",1.000000e+00,2.000000e+00,4.165560e+01,4.165560e+01,4.165560e+01,4.165560e+01,4.165560e+01
"140","Chlorpyrifos","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.378800e-07,2.615700e-07,1.844925e-06,2.479500e-05
"141","Chrysene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.698000e-06,8.265000e-06
"142","Copper","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,6.170500e-06,3.657500e-05,5.868200e-05,9.375000e-05,6.859950e-04
"143","Copper dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,4.429000e-06,1.746100e-05,3.118500e-05,4.758000e-05,5.289600e-04
"144","Di-N-Octyl Phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"145","Diazinon","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.378800e-07,2.615700e-07,1.752375e-06,9.918000e-06
"146","Dibenzo(a,h)anthracene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"147","Dibutyl phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"148","Dichlobenil","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.755875e-07,2.652300e-07,1.752375e-06,9.918000e-06
"149","Diethyl phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"150","Dimethyl phthalate","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-06,5.610000e-06,9.860000e-06,1.586000e-05,8.265000e-05
"151","Fluoranthene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.698000e-06,8.265000e-06
"152","Fluorene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"153","Hardness as CaCO3","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.480500e-02,5.068800e-02,9.219200e-02,4.074070e-01,3.935630e+01
"154","Indeno(1,2,3-cd)pyrene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.586000e-06,8.265000e-06
"155","Lead","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.324400e-05,4.932840e-05,1.299140e-04,2.276250e-04,2.346960e-03
"156","Lead dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,7.718500e-07,4.216000e-06,7.207200e-06,1.338700e-05,1.057920e-04
"157","Malathion","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.378800e-07,2.615700e-07,1.844925e-06,2.479500e-05
"158","Mecoprop","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.107000e-07,4.794000e-07,8.128000e-07,1.374400e-06,6.612000e-06
"159","Mercury","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.972000e-08,4.595000e-08,7.302000e-08,1.560600e-07,1.239750e-06
"160","Mercury dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,5.790000e-09,3.172000e-08,4.730000e-08,1.065900e-07,5.785500e-07
"161","Naphthalene","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.150000e-07,5.708725e-07,9.935000e-07,1.636260e-06,8.265000e-06
"162","Nitrite-Nitrate","COMP-CT-VPFVI",4.000000e+00,3.100000e+01,6.060000e-05,6.257700e-04,1.285900e-03,2.532985e-03,3.253800e-01
"163","Ortho-phosphate","COMP-CT-VPFVI",4.000000e+00,2.900000e+01,3.472000e-05,1.039500e-04,1.672200e-04,3.396000e-04,3.056800e-03
"164","Pentachlorophenol","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,5.783500e-07,2.656940e-06,6.701400e-06,1.327040e-05,6.926070e-05
"165","Phenanthrene","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.150000e-07,5.925000e-07,9.240000e-07,1.614000e-06,8.265000e-06
"166","Prometon","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,5.160000e-08,1.378800e-07,2.615700e-07,1.752375e-06,9.918000e-06
"167","Pyrene","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.150000e-07,5.610000e-07,9.860000e-07,1.698000e-06,8.265000e-06
"168","Surfactants","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,9.700000e-05,5.373000e-04,1.201200e-03,1.907400e-03,1.653000e-02
"169","Total Kjeldahl Nitrogen","COMP-CT-VPFVI",4.000000e+00,3.000000e+01,1.075000e-03,3.152750e-03,5.818000e-03,1.292625e-02,4.132500e-02
"170","Total Phosphorus","COMP-CT-VPFVI",4.000000e+00,2.900000e+01,4.300000e-05,1.925000e-04,3.172000e-04,9.180000e-04,3.967200e-03
"171","Total Suspended Solids","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,1.376000e-02,5.605600e-02,1.744200e-01,2.886600e-01,3.200400e+00
"172","Triclopyr","COMP-CT-VPFVI",4.000000e+00,3.200000e+01,2.107000e-07,4.794000e-07,8.128000e-07,1.374400e-06,6.612000e-06
"173","Zinc","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,3.913000e-04,1.280400e-03,2.232840e-03,3.514820e-03,2.372055e-02
"174","Zinc dissolved","COMP-CT-VPFVI",4.000000e+00,3.300000e+01,2.580000e-04,9.176000e-04,1.474560e-03,2.385320e-03,2.148900e-02
"175","1-Methylnaphthalene","COMP-CV-CFVI",4.000000e+00,2.520000e+02,2.653567e-07,7.123211e-06,4.613090e-05,1.872314e-04,4.733119e-03
"176","2-Methylnaphthalene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,5.830288e-06,2.967006e-05,1.420144e-04,2.153575e-02
"177","2,4-D","COMP-CV-CFVI",1.400000e+01,5.220000e+02,2.122854e-07,1.653030e-05,5.144070e-05,3.101029e-04,3.186899e-01
"178","Acenaphthene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,5.617487e-06,2.782732e-05,1.183641e-04,2.895619e-03
"179","Acenaphthylene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,4.692773e-06,2.384112e-05,1.203322e-04,2.743218e-03
"180","Ammonia","COMP-CV-CFVI",0.000000e+00,7.100000e+01,2.745583e-03,2.695588e-02,2.306415e-01,4.437172e-01,2.814781e+00
"181","Anthracene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.068000e-08,6.352279e-06,2.806279e-05,1.279781e-04,2.338464e-03
"182","Aresenic dissolved","COMP-CV-CFVI",0.000000e+00,1.600000e+01,8.800000e-07,3.368000e-06,7.672500e-06,2.999400e-05,2.928640e-04
"183","Benz(a)anthracene","COMP-CV-CFVI",4.000000e+00,4.400000e+02,3.760000e-08,7.268675e-06,2.966724e-05,1.496699e-04,2.671656e-03
"184","Benzo(a)pyrene","COMP-CV-CFVI",1.400000e+01,5.600000e+02,9.320000e-08,8.622056e-06,3.361542e-05,1.449877e-04,2.374805e-03
"185","Benzo(b)fluoranthene","COMP-CV-CFVI",1.300000e+01,3.200000e+02,1.250200e-07,7.342960e-06,2.894164e-05,1.015118e-04,1.063112e-03
"186","Benzo(b,k)fluoranthene","COMP-CV-CFVI",0.000000e+00,9.400000e+01,5.493176e-06,6.123142e-05,2.032077e-04,6.788710e-04,4.873038e-03
"187","Benzo(g,h,i)perylene","COMP-CV-CFVI",1.400000e+01,5.620000e+02,2.000000e-08,8.317824e-06,3.807392e-05,1.446593e-04,2.968507e-03
"188","Benzo(k)fluoranthene","COMP-CV-CFVI",1.300000e+01,3.200000e+02,7.320000e-08,7.928704e-06,2.644860e-05,8.957674e-05,3.486364e-03
"189","Benzofluoranthenes, Total","COMP-CV-CFVI",1.000000e+00,1.490000e+02,2.190200e-07,9.237028e-06,4.644405e-05,2.766488e-04,6.134914e-03
"190","Bis(2-ethylhexyl) phthalate","COMP-CV-CFVI",1.400000e+01,5.630000e+02,8.840000e-07,8.937348e-05,7.126962e-04,4.252447e-03,1.578864e-01
"191","Butyl benzyl phthalate","COMP-CV-CFVI",1.400000e+01,5.620000e+02,1.034000e-07,3.760118e-05,2.235531e-04,1.495708e-03,5.195049e-02
"192","Cadmium","COMP-CV-CFVI",1.400000e+01,5.670000e+02,1.100000e-07,8.221783e-06,5.590843e-05,3.975679e-04,5.189195e-02
"193","Cadmium dissolved","COMP-CV-CFVI",1.300000e+01,5.640000e+02,1.000000e-07,3.519070e-06,2.042156e-05,1.729007e-04,3.251108e-02
"194","Calcium","COMP-CV-CFVI",1.200000e+01,3.470000e+02,5.940000e-03,1.332990e-01,8.264493e-01,6.907849e+00,2.951452e+02
"195","Calcium dissolved","COMP-CV-CFVI",0.000000e+00,2.000000e+00,7.597327e-02,7.920952e-02,8.244577e-02,8.568202e-02,8.891827e-02
"196","Chloride","COMP-CV-CFVI",1.300000e+01,5.250000e+02,1.054000e-03,1.127423e-01,1.115569e+00,9.322222e+00,8.054339e+02
"197","Chlorpyrifos","COMP-CV-CFVI",1.400000e+01,5.530000e+02,6.800000e-08,7.038141e-06,2.661779e-05,1.383349e-04,5.212557e-03
"198","Chrysene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,1.092000e-07,1.011306e-05,4.113683e-05,1.533468e-04,3.558017e-03
"199","Copper","COMP-CV-CFVI",1.400000e+01,5.590000e+02,6.796032e-06,8.101566e-04,3.768076e-03,3.535178e-02,1.420371e+00
"200","Copper dissolved","COMP-CV-CFVI",1.100000e+01,5.320000e+02,6.796032e-06,3.381200e-04,1.476024e-03,1.049197e-02,1.284188e+00
"201","Di-N-Octyl Phthalate","COMP-CV-CFVI",1.400000e+01,5.610000e+02,5.000000e-08,2.857634e-05,1.783958e-04,1.114325e-03,3.580417e-02
"202","Diazinon","COMP-CV-CFVI",1.400000e+01,5.530000e+02,8.600000e-08,6.847206e-06,2.380254e-05,1.236363e-04,5.212557e-03
"203","Dibenzo(a,h)anthracene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,6.358986e-06,2.701993e-05,1.251657e-04,3.486364e-03
"204","Dibutyl phthalate","COMP-CV-CFVI",1.400000e+01,5.620000e+02,8.580000e-08,3.054227e-05,1.995542e-04,1.345595e-03,4.631245e-02
"205","Dichlobenil","COMP-CV-CFVI",1.400000e+01,5.210000e+02,8.203490e-08,7.450490e-06,4.898240e-05,2.176429e-04,1.626652e-02
"206","Diethyl phthalate","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.684000e-07,2.910574e-05,2.591623e-04,1.570387e-03,7.269041e-02
"207","Dimethyl phthalate","COMP-CV-CFVI",1.400000e+01,5.630000e+02,5.280000e-08,2.454783e-05,1.783958e-04,1.203168e-03,7.671758e-02
"208","Fluoranthene","COMP-CV-CFVI",1.400000e+01,5.620000e+02,2.000000e-08,1.272636e-05,5.831190e-05,2.125034e-04,5.838063e-03
"209","Fluorene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,5.873301e-06,2.863961e-05,1.168776e-04,4.572031e-03
"210","Hardness as CaCO3","COMP-CV-CFVI",1.400000e+01,5.700000e+02,2.068000e-02,1.371390e+00,8.749273e+00,7.159726e+01,6.225873e+03
"211","Indeno(1,2,3-cd)pyrene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,2.000000e-08,7.822278e-06,3.242274e-05,1.407342e-04,2.374805e-03
"212","Lead","COMP-CV-CFVI",1.400000e+01,5.660000e+02,2.576829e-06,2.325665e-04,1.643362e-03,1.848452e-02,3.131108e+00
"213","Lead dissolved","COMP-CV-CFVI",1.400000e+01,5.570000e+02,2.600000e-07,1.291875e-05,6.994250e-05,1.451661e-03,1.135638e-01
"214","Magnesium","COMP-CV-CFVI",1.200000e+01,3.460000e+02,1.423400e-03,1.978282e-02,2.100675e-01,1.480346e+00,7.978015e+01
"215","Magnesium dissolved","COMP-CV-CFVI",0.000000e+00,2.000000e+00,9.420685e-03,9.911983e-03,1.040328e-02,1.089458e-02,1.138588e-02
"216","Malathion","COMP-CV-CFVI",1.400000e+01,5.520000e+02,9.600000e-08,6.625590e-06,2.520568e-05,1.565011e-04,1.042511e-02
"217","Mecoprop","COMP-CV-CFVI",1.400000e+01,5.340000e+02,2.122854e-07,2.134394e-05,1.844125e-04,3.273776e-03,5.232378e+00
"218","Mercury","COMP-CV-CFVI",5.000000e+00,3.840000e+02,5.307135e-08,4.357797e-06,4.125758e-05,1.854581e-04,1.097729e+00
"219","Mercury dissolved","COMP-CV-CFVI",5.000000e+00,3.720000e+02,5.307135e-08,5.516509e-06,4.471224e-05,1.652144e-04,1.219166e-02
"220","Naphthalene","COMP-CV-CFVI",1.400000e+01,5.590000e+02,2.068000e-08,6.725240e-06,3.141694e-05,1.424675e-04,1.119859e-02
"221","Nitrite-Nitrate","COMP-CV-CFVI",1.300000e+01,4.080000e+02,2.108000e-04,2.403827e-02,1.535113e-01,1.072952e+00,1.856525e+02
"222","Nitrite-Nitrate dissolved","COMP-CV-CFVI",1.000000e+00,1.250000e+02,4.551490e-04,3.966993e-03,3.020448e-02,7.732577e-02,5.263493e-01
"223","Ortho-phosphate","COMP-CV-CFVI",0.000000e+00,1.200000e+01,6.740984e-04,1.293444e-03,5.433994e-03,1.228658e-01,4.818016e-01
"224","Ortho-phosphate dissolved","COMP-CV-CFVI",1.200000e+01,2.720000e+02,5.331100e-05,7.890153e-04,5.693863e-03,6.023434e-02,4.631245e+00
"225","Ortho-Phosphate dissolved","COMP-CV-CFVI",0.000000e+00,8.600000e+01,5.808908e-04,4.184798e-03,3.042470e-02,1.884802e-01,5.860264e-01
"226","p-Cresol","COMP-CV-CFVI",0.000000e+00,2.600000e+01,1.000000e-07,8.401250e-07,1.158800e-06,3.456850e-06,1.476236e-04
"227","PCB-aroclor 1016","COMP-CV-CFVI",0.000000e+00,2.700000e+01,2.477154e-07,2.011951e-06,9.251665e-06,3.499815e-05,1.053470e-04
"228","PCB-aroclor 1221","COMP-CV-CFVI",0.000000e+00,2.700000e+01,2.477154e-07,2.011951e-06,9.251665e-06,3.499815e-05,1.053470e-04
"229","PCB-aroclor 1232","COMP-CV-CFVI",0.000000e+00,2.700000e+01,2.477154e-07,2.011951e-06,9.251665e-06,3.499815e-05,1.053470e-04
"230","PCB-aroclor 1242","COMP-CV-CFVI",0.000000e+00,2.700000e+01,2.477154e-07,2.011951e-06,9.251665e-06,3.499815e-05,1.053470e-04
"231","PCB-aroclor 1248","COMP-CV-CFVI",0.000000e+00,2.700000e+01,2.477154e-07,2.011951e-06,9.251665e-06,3.814415e-05,2.432526e-04
"232","PCB-aroclor 1254","COMP-CV-CFVI",0.000000e+00,2.700000e+01,2.477154e-07,3.662730e-06,1.001622e-05,4.798423e-05,5.038805e-04
"233","PCB-aroclor 1260","COMP-CV-CFVI",0.000000e+00,2.700000e+01,2.477154e-07,2.112113e-06,9.251665e-06,3.858022e-05,3.301286e-04
"234","Pentachlorophenol","COMP-CV-CFVI",1.400000e+01,5.290000e+02,2.000000e-07,1.345614e-05,7.390685e-05,6.972092e-04,1.267932e-01
"235","Phenanthrene","COMP-CV-CFVI",1.400000e+01,5.630000e+02,3.760000e-08,8.937348e-06,4.175312e-05,1.725813e-04,4.737866e-03
"236","Phenol","COMP-CV-CFVI",0.000000e+00,2.600000e+01,1.000000e-07,1.056300e-06,2.924250e-06,1.060607e-05,4.416120e-05
"237","Prometon","COMP-CV-CFVI",1.400000e+01,5.180000e+02,8.203490e-08,4.839132e-06,3.084407e-05,1.449877e-04,1.550460e-02
"238","Pyrene","COMP-CV-CFVI",1.400000e+01,5.620000e+02,1.250200e-07,1.242711e-05,5.733759e-05,2.219598e-04,5.145412e-03
"239","Surfactants","COMP-CV-CFVI",1.400000e+01,5.440000e+02,8.545302e-05,3.643686e-03,2.161496e-02,1.218988e-01,9.649629e+00
"240","Total Kjeldahl Nitrogen","COMP-CV-CFVI",1.400000e+01,5.280000e+02,9.240000e-04,6.643111e-02,3.222507e-01,1.736439e+00,1.295807e+02
"241","Total Phosphorus","COMP-CV-CFVI",1.500000e+01,5.750000e+02,2.265344e-04,7.631971e-03,4.191404e-02,1.776302e-01,1.971281e+01
"242","Total Phosphorus dissolved","COMP-CV-CFVI",1.000000e+00,1.250000e+02,3.453857e-05,4.504566e-04,4.200477e-03,1.786278e-02,3.548008e-01
"243","Total Suspended Solids","COMP-CV-CFVI",1.400000e+01,5.350000e+02,1.436000e-02,2.031730e+00,1.555521e+01,1.002228e+02,1.197989e+04
"244","Triclopyr","COMP-CV-CFVI",1.400000e+01,4.930000e+02,2.122854e-07,9.676714e-06,3.470000e-05,1.736685e-04,1.625554e-01
"245","Zinc","COMP-CV-CFVI",1.400000e+01,5.590000e+02,2.574000e-05,2.976750e-03,2.625924e-02,1.899264e-01,7.926481e+00
"246","Zinc dissolved","COMP-CV-CFVI",1.000000e+01,5.380000e+02,6.655258e-06,1.245060e-03,9.639905e-03,8.786875e-02,3.511197e+00
"247","Diesel Range Organics","GRAB-MISC",8.000000e+00,1.000000e+02,1.703946e-02,8.260636e-02,7.716894e-01,2.250422e+00,1.569713e+01
"248","Gasoline Range Organics","GRAB-MISC",6.000000e+00,7.000000e+01,6.136958e-03,7.377057e-02,2.863678e-01,9.898668e-01,3.810025e+00
"249","Motor Oil","GRAB-MISC",5.000000e+00,5.800000e+01,3.220300e-02,1.962069e-01,1.734110e+00,4.900454e+00,3.629155e+01
"250","2,4-D","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"251","Chlorpyrifos","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"252","Copper","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"253","Diazinon","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"254","Dichlobenil","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"255","Diesel Fuel","HANDGRAB",1.400000e+01,3.500000e+01,2.150000e-04,5.610000e-04,1.144000e-03,2.427000e-03,8.265000e-03
"256","Diesel Range Organics","HANDGRAB",1.200000e+02,2.620000e+02,7.531193e-04,1.536150e-02,7.601411e-02,2.529213e-01,1.949215e+01
"257","Gasoline Range Organics","HANDGRAB",1.210000e+02,2.670000e+02,7.028853e-04,6.942500e-03,2.020615e-02,8.060886e-02,1.754294e+00
"258","Heavy Fuel Oil","HANDGRAB",7.600000e+01,1.790000e+02,1.426963e-03,1.482028e-01,4.594118e-01,1.455921e+00,4.900865e+01
"259","Lube Oil","HANDGRAB",4.500000e+01,8.900000e+01,1.064000e-03,5.058750e-03,1.456700e-02,5.402200e-02,3.214431e-01
"260","Malathion","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"261","Mecoprop","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"262","Oil and grease","HANDGRAB",1.400000e+01,3.500000e+01,1.075000e-03,2.805000e-03,5.155000e-03,1.191260e-02,4.132500e-02
"263","Prometon","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"264","Total Phosphorus","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"265","Total Suspended Solids","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
"266","TPHGx","HANDGRAB",1.400000e+01,3.500000e+01,1.075000e-04,2.805000e-04,5.155000e-04,8.890000e-04,8.265000e-03
"267","Triclopyr","HANDGRAB",2.100000e+01,2.100000e+01,NA,NA,NA,NA,NA
